location_id,state,city,location
1,Karnataka,Bengaluru,Rajarajeshwari Nagar
2,Karnataka,Bengaluru,Kengeri
3,Karnataka,Bengaluru,Kanmanike Village
4,Karnataka,Bengaluru,Bidadi
5,Karnataka,Bengaluru,Kengeri Satellite Town
6,Karnataka,Bengaluru,Kanakapura Road
7,Karnataka,Bengaluru,Jawaharlal Nehru Road
8,Karnataka,Bengaluru,KENGERI UPANAGAR
9,Karnataka,Bengaluru,Rr Nagar
10,Karnataka,Bengaluru,Gopalan Arcade Mall
11,Karnataka,Bengaluru,Forum Mall
12,Karnataka,Bengaluru,Kanakapura
13,Karnataka,Bengaluru,KENGERI SATELLITE TOWN
14,Karnataka,Bengaluru,Uttarahalli
15,Karnataka,Bengaluru,Global Mall
16,Karnataka,Bengaluru,Mysore Road
17,Karnataka,Bengaluru,Vijay Nagar
18,Karnataka,Bengaluru,vijayanagar
19,Karnataka,Bengaluru,Banashankari
20,Karnataka,Bengaluru,BBMP West
21,Karnataka,Bengaluru,RR Nagar
22,Karnataka,Bengaluru,Beml Layout
23,Karnataka,Bengaluru,Whitefield
24,Karnataka,Bengaluru,Varthur Gunjur
25,Karnataka,Bengaluru,"Hope Farm, Varthur Main Road"
26,Karnataka,Bengaluru,Varthur
27,Karnataka,Bengaluru,WHITEFIELD
28,Karnataka,Bengaluru,Hesaraghatta
29,Karnataka,Bengaluru,Jalahalli Cross
30,Karnataka,Bengaluru,Vidyaranyapura
31,Karnataka,Bengaluru,M.S.Ramaiah Enclave
32,Karnataka,Bengaluru,Dasarahalli
33,Karnataka,Bengaluru,maruti layout
34,Karnataka,Bengaluru,Mathikere- BELÃ‚Âroad
35,Karnataka,Bengaluru,Peenya
36,Karnataka,Bengaluru,Jalahalli-Peenya
37,Karnataka,Bengaluru,Jalahalli
38,Karnataka,Bengaluru,Yelahanka
39,Karnataka,Bengaluru,New BEL Road
40,Karnataka,Bengaluru,R.M.V. 2nd Stage
41,Karnataka,Bengaluru,"Sanjay Nagar, New BEL Road"
42,Karnataka,Bengaluru,Yeshwantpur
43,Karnataka,Bengaluru,Mathikere
44,Karnataka,Bengaluru,HMT Layout
45,Karnataka,Bengaluru,Yeswanthpur
46,Karnataka,Bengaluru,J P Nagar
47,Karnataka,Bengaluru,Bannerghatta Road
48,Karnataka,Bengaluru,Navaratan Gardens
49,Karnataka,Bengaluru,Vajarahalli Gramatana
50,Karnataka,Bengaluru,Kengeri Satlite Town
51,Karnataka,Bengaluru,BHEEMANAHALLI- BIDADI
52,Karnataka,Bengaluru,Dommasandra
53,Karnataka,Bengaluru,Sarjapur
54,Karnataka,Bengaluru,Kaikondrahalli
55,Karnataka,Bengaluru,Bellandur Sarjapur
56,Karnataka,Bengaluru,Sarjapur Road
57,Karnataka,Bengaluru,Sompura
58,Karnataka,Bengaluru,Sarjapur-Marathahalli Road
59,Karnataka,Bengaluru,Sarjapur Road Yamare
60,Karnataka,Bengaluru,Junnasandra
61,Karnataka,Bengaluru,Anekal
62,Karnataka,Bengaluru,Gunjur Village
63,Karnataka,Bengaluru,Bellandur
64,Karnataka,Bengaluru,SAMSKRUTI GARDENIA
65,Karnataka,Bengaluru,Kadubeesanahalli
66,Karnataka,Bengaluru,Seege Halli
67,Maharashtra,Mumbai,Nerul
68,Maharashtra,Mumbai,Hawares Centurion
69,Maharashtra,Mumbai,CBD Belapur
70,Maharashtra,Mumbai,Safal park
71,Maharashtra,Mumbai,SHREEJI PLAZA
72,Maharashtra,Mumbai,Seawoods
73,Maharashtra,Mumbai,Cbd Belapur
74,Maharashtra,Mumbai,BELAPUR
75,Maharashtra,Mumbai,Kharghar
76,Maharashtra,Mumbai,Navi Mumbai
77,Maharashtra,Mumbai,Panvel City
78,Maharashtra,Mumbai,Vashi
79,Maharashtra,Mumbai,HAWRE CENTURION MALL
80,Maharashtra,Mumbai,Millennium Park Chs
81,Maharashtra,Mumbai,Ulwe
82,Maharashtra,Mumbai,ULWE SECTOR 19
83,Maharashtra,Mumbai,Ulave
84,Maharashtra,Mumbai,ULWE
85,Maharashtra,Mumbai,"Seawoods, Merul"
86,Maharashtra,Mumbai,sector 21
87,Maharashtra,Mumbai,Viviana
88,Maharashtra,Mumbai,Thane West
89,Maharashtra,Mumbai,Thane Panchpakhadi
90,Maharashtra,Mumbai,Vartaknagar Manpada Zone
