restaurant_id,restaurant_name
1,Anand Sweets & Savouries
2,Srinidhi Sagar Deluxe
3,Thalassery Restaurant
4,Appu Donne Biriyani Palace
5,Bismillah Taj Hotel
6,Nisarga Family Daba
7,Swadh Restaurant
8,Sri Vinayaka Hot Chips
9,Chinese Wok
10,Pizza Hut
11,A2B - Adyar Ananda Bhavan
12,Big Bowl
13,Olio - The Wood Fired Pizzeria
14,KFC
15,The Belgian Waffle Co.
16,Kanti Sweets
17,Polar Bear
18,NIC Ice Creams
19,Grameen Kulfi
20,Quick Crave
21,Nandhana Palace
22,Dum Safar Biryani
23,Subway
24,Burger King
25,Taco Bell
26,The Good Bowl
27,Kwality Walls Ice Cream and More
28,Theobroma
29,Baskin Robbins - Ice Cream Desserts
30,chickpet Donne Biryani House
31,LunchBox  Meals and Thalis
32,NH1 Bowls - Highway To North
33,McDonald's
34,Bakingo
35,Domino's Pizza
36,"WeFit - Protein Bowls, Salads & Sandwiches"
37,Daily Kitchen - Everyday Homely Meals
38,RNR Biryani - Taste of 1953
39,Andhra Gunpowder
40,Wendy's Burgers
41,"Faasos - Wraps, Rolls & Shawarma"
42,LunchBox - Meals and Thalis
43,EatFit
44,Sweet Truth - Cake and Desserts
45,The Biryani Life
46,Cheesecake & co.
47,Homely
48,Great Indian Khichdi by EatFit
49,Starbucks Coffee
50,Home Plate by EatFit
51,Tiffin Story
52,ITC Master Chef Creations
53,Chickpet Donne Biryani House
54,HRX by EatFit
55,Cafe Coffee Day
56,La Pino'z Pizza
57,Biryani By Kilo
58,Goila Butter Chicken
59,Pastas By Pizza Hut
60,Paris Panini - Gourmet Sandwiches & Wraps
61,Brik Oven - Original Sourdough Pizzas
62,The Pizza Bakery - Wood Fired Sourdough
63,Veg Meals by Lunchbox
64,Blue Tokai Coffee Roasters
65,ZAZA Mughal Biryani
66,LeanCrust Pizza- ThinCrust Experts
67,Good Flippin' Burgers
68,Urban Tadka
69,"Dabba Garam (Homestyle,Combo, Thali & More)"
70,BOOM - Sub Style Sandwiches
71,"Bhatti Chicken - Grilled, NOT Fried!"
72,Hola Pasta - Fresh Gourmet Pasta
73,Itminaan Matka Biryani - Slow Cooked
74,Mealful Rolls - India's Biggest Rolls
75,GLOBO Ice Creams Of The World
76,BOX8 - Desi Meals
77,Oven Story Pizza
78,MOJO Pizza - 2X Toppings
79,Apsara Ice Creams
80,Suchali's Artisan Bakehouse
81,Cinnabon
82,Aromas Cafe & Bistro
83,PizzaExpress
84,Jumboking Burgers
85,Baklavas By Mezaya
86,Nom Nom: Asian Bar & Eatery
87,Barbecue by Punjab Grill
88,Copper Kitchen
89,Salem RR Biriyani Unavagam
90,Popeyes
91,The Brownie Studio
92,Buhari Hotel
93,"Ovenfresh Pizzas, Cakes & Desserts"
94,Junior Kuppanna
95,Ss Hyderabad Biryani
96,McCafe by McDonald's
97,Sangeetha Veg Restaurant
98,Anjappar
99,Dindigul Thalappakatti - Since 1957
